filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_11.pdf,48,"यादी भाग क्र. १४४  : ३ -म्यु. घ नं. 09 A. चाळ नं. १, हाफिजअली बहादुरखान मार्ग," ,88
BoothVoterList_A4_Ward_212_Booth_11.pdf,49,"यादी भाग क्र. १४४  : ४ - म्यु.घ.नं ७३, म्यु.चाळ नं.२, हाफिजअली बहादुरखान मार्ग," ,82
BoothVoterList_A4_Ward_212_Booth_11.pdf,50,"यादी भाग क्र. १४४  : ५ - म्यु.घ.नं ७५, म्यु.चाळ 4.3, हाफिजअली बहादुरखान मार्ग,",71
BoothVoterList_A4_Ward_212_Booth_11.pdf,51,"यादी भाग क्र. १४४  : ७ -म्यु.घ.नं.७९, म्यु.चाळ 4.4, हाफिजअली बहादुरखान मार्ग," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,52,"यादी भाग क्र. १४४  : ६ - म्यु.घ.नं ७७, म्यु.चाळ नं.४, हाफिजअली बहादुरखान मार्ग," ,84
BoothVoterList_A4_Ward_212_Booth_11.pdf,53,"यादी भाग क्र. १४४  : ४ - म्यु.घ.नं ७३, म्यु.चाळ नं.२, हाफिजअली बहादुरखान मार्ग," ,82
BoothVoterList_A4_Ward_212_Booth_11.pdf,54,"यादी भाग क्र. १४४  : ७ -म्यु.घ.नं.७९, म्यु.चाळ 4.4, हाफिजअली बहादुरखान मार्ग," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,55,"यादी भाग क्र. १४४  : ६ - म्यु.घ.नं ७७, म्यु.चाळ नं.४, हाफिजअली बहादुरखान मार्ग," ,84
BoothVoterList_A4_Ward_212_Booth_11.pdf,56,"यादी भाग क्र. १४४  : २ - म्यु.घ.नं.६७, ए सुर्याजी चाळ, हाफिजअली बहादुरखान AM," ,87
BoothVoterList_A4_Ward_212_Booth_11.pdf,57,"यादी भाग क्र. १४४  : ६ - म्यु.घ.नं ७७, म्यु.चाळ नं.४, हाफिजअली बहादुरखान मार्ग," ,84
BoothVoterList_A4_Ward_212_Booth_11.pdf,58,"यादी भाग क्र. १४४  : ३ -म्यु. घ नं. 09 A. चाळ नं. १, हाफिजअली बहादुरखान मार्ग," ,88
BoothVoterList_A4_Ward_212_Booth_12.pdf,2,"यादी भाग क्र. ७६  : ६ -म्यु.घ.नं.७१४ ते ७४४, GAR दगडी चाळ, बापुराव जगताप मार्ग," ,91
